一级菜单,二级菜单,三级菜单,页面路径,页面操作按钮,按钮标识
内容,直播话术,直播快捷回复,/content/live_streaming/quick_replies/list,启用,
,,,,新增快捷回复,
,,,,编辑,
,,,,删除,
内容,商品评价,商城商品评价,/content/product_review/commerce_product/list,审核,
,,,,取消展示,
,,,,取消置顶,
,,,,删除,
物流,路由规则,,/logistics/route_rule/list,结束节点,
,,,,启用,
,,,,禁用,
,,,,创建人,
,,,,停用,
,,,,新增,
,,,,编辑,
,,,,更多,
仓储,基础数据,仓库,/fulfillment/basic/warehouse,仓库查询,warehouse:list
,,,,仓库新增,warehouse:create
,,,,仓库修改,warehouse:update
,,,,仓库删除,warehouse:delete
仓储,基础数据,货主,/fulfillment/basic/company,货主查询,company:list
,,,,货主新增,company:create
,,,,货主修改,company:update
,,,,货主删除,company:delete
仓储,基础数据,仓间,/fulfillment/basic/room,房间查询,room:list
,,,,房间新增,room:create
,,,,房间修改,room:update
,,,,房间删除,room:delete
仓储,基础数据,库区,/fulfillment/basic/zone,功能区查询,zone:list
,,,,功能区新增,zone:create
,,,,功能区修改,zone:update
,,,,功能区删除,zone:delete
仓储,基础数据,作业区域,/fulfillment/basic/area,区域查询,area:list
,,,,区域新增,area:create
,,,,区域修改,area:update
,,,,区域删除,area:delete
仓储,基础数据,储位,/fulfillment/basic/location,库位查询,location:list
,,,,库位新增,location:create
,,,,库位修改,location:update
,,,,库位删除,location:delete
仓储,基础数据,容器,/fulfillment/basic/lpn,模型查询,lpnModel:list
,,,,查询,lpn:list
,,,,模型新增,lpnModel:create
,,,,新增,lpn:create
,,,,模型修改,lpnModel:update
,,,,修改,lpn:update
,,,,模型删除,lpnModel:delete
,,,,删除,lpn:delete
仓储,基础数据,商品,/fulfillment/basic/sku,SKU查询,sku:list
仓储,基础数据,承运商,/fulfillment/basic/carrier,承运商查询,carrier:list
,,,,承运商新增,carrier:create
,,,,承运商修改,carrier:update
,,,,承运商删除,carrier:delete
仓储,基础数据,站点,/fulfillment/basic/delivery-hub,集货地查询,deliveryHub:list
,,,,集货地新增,deliveryHub:create
,,,,集货地修改,deliveryHub:update
,,,,集货地删除,deliveryHub:delete
仓储,基础数据,线路管理,/logistics/route_management/list,启用,
,,,,停用,
,,,,新增,
,,,,编辑,
,,,,删除,
仓储,权限管理,作业档案,/fulfillment/permission/profile,档案查询,profile:list
,,,,档案新增,profile:create
,,,,档案修改,profile:update
,,,,档案删除,profile:delete
仓储,权限管理,用户-作业档案绑定,/fulfillment/permission/user-profile,绑定查询（档案）,userProfile:list
,,,,绑定新增（档案）,userProfile:create
,,,,绑定修改（档案）,userProfile:update
,,,,绑定删除（档案）,userProfile:delete
仓储,权限管理,用户-货主绑定,/fulfillment/permission/user-company,绑定查询（货主）,userCompany:list
,,,,绑定新增（货主）,userCompany:create
,,,,绑定修改（货主）,userCompany:update
,,,,绑定删除（货主）,userCompany:delete
仓储,策略管理,仓库-货主,/fulfillment/policy/warehouse-company,查询,warehouseCompany:list
,,,,新增,warehouseCompany:create
,,,,编辑,warehouseCompany:update
,,,,删除,warehouseCompany:delete
仓储,策略管理,入库策略,/fulfillment/policy/ibd-strategy,查询,ibdStrategy:list
,,,,新增,ibdStrategy:create
,,,,编辑,ibdStrategy:update
,,,,删除,ibdStrategy:delete
,,,,储位规则校验,locationValidation:invoke
仓储,策略管理,波次流程,/fulfillment/policy/wave-process,查询,waveProcess:list
,,,,新增,waveProcess:create
,,,,编辑,waveProcess:update
,,,,删除,waveProcess:delete
仓储,策略管理,波次模板,/fulfillment/policy/wave-template,查询,waveTemplate:list
,,,,新增,waveTemplate:create
,,,,编辑,waveTemplate:update
,,,,删除,waveTemplate:delete
仓储,策略管理,分配策略,/fulfillment/policy/allocation-strategy,查询,allocationStrategy:list
,,,,新增,allocationStrategy:create
,,,,编辑,allocationStrategy:update
,,,,删除,allocationStrategy:delete
仓储,策略管理,周转策略,/fulfillment/policy/replenishment-strategy,启用,
,,,,停用,
,,,,新增,
,,,,查看,
,,,,编辑,
,,,,删除,
仓储,策略管理,任务引擎,/fulfillment/policy/task-engine,查询,taskEngine:list
,,,,新增,taskEngine:create
,,,,编辑,taskEngine:update
,,,,删除,taskEngine:delete
仓储,策略管理,库存规则,/fulfillment/policy/inventory-rules,启用,
,,,,禁用,
,,,,新增,
,,,,编辑,
,,,,删除,
仓储,任务管理,任务组,/fulfillment/task/group,开始时间,
,,,,完成时间,
,,,,创建人,
,,,,结束时间,
,,,,取消指派,
仓储,任务管理,任务,/fulfillment/task/order,完成数量,
,,,,开始时间,
,,,,结束时间,
,,,,创建人,
,,,,开始时间,
,,,,结束时间,
,,,,取消时间,
,,,,取消人,
,,,,创建人,
,,,,收货记录,
仓储,出库管理,,/fulfillment/outbound,,
仓储,出库管理,出库单,/fulfillment/outbound/order,出库单创建,outbound:create
,,,,出库单拣货,outbound:pick
,,,,出库单分拣,outbound:sort
,,,,出库单复核,outbound:check
,,,,出库单打包,outbound:pack
,,,,出库单取消,outbound:cancel
,,,,出库单查看,outbound:view
,,,,开始时间,
,,,,结束时间,
,,,,创建人,
,,,,分配记录,
,,,,分配库存,
,,,,开始时间,
,,,,结束时间,
,,,,创建人,
仓储,出库管理,包裹管理,/fulfillment-core/outbound/carton,发货单号,
,,,,发货时间,
,,,,创建人,
,,,,开始时间,
,,,,结束时间,
仓储,出库管理,发货管理,/fulfillment-core/outbound/distribution,发货单号,
,,,,发货单状态,
,,,,开始时间,
,,,,结束时间,
,,,,发货时间,
,,,,发货单打印次数,
,,,,创建人,
,,,,发货单打印错误:,
,,,,打印,
仓储,库存管理,库存查询,/fulfillment/inventory/stock,库存查询,inventory:list
,,,,库存冻结,inventory:freeze
,,,,库存解冻,inventory:unfreeze
仓储,库存管理,库存日志,/fulfillment/inventory/log,库存日志查询,inventoryLog:list
仓储,库内管理,库存调整单,/fulfillment/inwarehouseManagement/inventoryOrder,调整单号,
,,,,调整类型,
,,,,开始时间,
,,,,结束时间,
,,,,创建人,
,,,,创建人,
,,,,查看,
仓储,异常管理,负库存,/fulfillment/exceptionManagement/negativeInventory,导出接口暂未对接，当前无法导出,
,,,,导出,
,,,,创建人,
,,,,查询,
,,,,创建策略,
,,,,启用,
,,,,停用,
,,,,删除,
,,,,更多,
结算,策略查询,,/settlement/policy_query/list,查看策略详情,
结算,资金账户,,/settlement/platform_account/list,启用状态,
